,acct_id,bin,number,cent_latitude,cent_longitude,target,calle,resultado_inspeccion
459,780,1000005,1,40.702091,-74.012045,5,4,2
460,782,1000005,1,40.702091,-74.012045,12,2,2
461,783,1000005,1,40.702091,-74.012045,7,2,2
462,784,1000005,1,40.702091,-74.012045,7,2,2
463,785,1000005,1,40.702091,-74.012045,4,2,2
464,786,1000005,1,40.702091,-74.012045,4,2,2
465,787,1000006,125,40.702339,-74.010517,5,5,2
466,788,1000006,125,40.702339,-74.010517,5,5,2
467,794,1000006,125,40.702339,-74.010517,12,5,2
468,807,1000006,125,40.702339,-74.010517,13,5,1
469,816,1000006,125,40.702339,-74.010517,9,5,2
470,858,1000006,125,40.702339,-74.010517,6,5,2
471,859,1000006,125,40.702339,-74.010517,6,5,2
472,860,1000006,125,40.702339,-74.010517,13,5,1
473,861,1000006,125,40.702339,-74.010517,13,5,1
474,862,1000006,125,40.702339,-74.010517,6,5,2
475,863,1000006,125,40.702339,-74.010517,13,5,1
476,864,1000006,125,40.702339,-74.010517,13,5,1
477,865,1000006,125,40.702339,-74.010517,13,5,1
478,866,1000006,125,40.702339,-74.010517,6,5,2
479,867,1000006,125,40.702339,-74.010517,6,5,2
480,868,1000006,125,40.702339,-74.010517,13,5,1
481,869,1000006,125,40.702339,-74.010517,13,5,1
482,870,1000006,125,40.702339,-74.010517,6,5,2
483,871,1000006,125,40.702339,-74.010517,2,5,3
484,872,1000006,125,40.702339,-74.010517,11,5,2
485,873,1000006,125,40.702339,-74.010517,6,5,2
486,874,1000006,125,40.702339,-74.010517,6,5,2
487,875,1000006,125,40.702339,-74.010517,13,5,1
488,876,1000006,125,40.702339,-74.010517,13,5,1
489,877,1000006,125,40.702339,-74.010517,6,5,2
490,878,1000006,125,40.702339,-74.010517,6,5,2
491,879,1000006,125,40.702339,-74.010517,6,5,2
492,880,1000006,125,40.702339,-74.010517,13,5,1
493,881,1000006,125,40.702339,-74.010517,13,5,1
494,882,1000006,125,40.702339,-74.010517,11,5,2
495,883,1000006,125,40.702339,-74.010517,13,5,1
496,884,1000006,125,40.702339,-74.010517,11,5,2
497,885,1000006,125,40.702339,-74.010517,11,5,2
498,886,1000006,125,40.702339,-74.010517,13,5,1
499,887,1000006,125,40.702339,-74.010517,11,5,2
500,888,1000006,125,40.702339,-74.010517,6,5,2
501,889,1000006,125,40.702339,-74.010517,11,5,2
502,890,1000006,125,40.702339,-74.010517,2,5,3
503,891,1000006,125,40.702339,-74.010517,6,5,2
504,892,1000006,125,40.702339,-74.010517,13,5,1
505,893,1000006,125,40.702339,-74.010517,11,5,2
506,894,1000006,125,40.702339,-74.010517,11,5,2
507,895,1000006,125,40.702339,-74.010517,13,5,1
508,896,1000006,125,40.702339,-74.010517,13,5,1
509,897,1000006,125,40.702339,-74.010517,6,5,2
510,898,1000006,125,40.702339,-74.010517,13,5,1
511,899,1000006,125,40.702339,-74.010517,7,5,1
512,900,1000006,125,40.702339,-74.010517,7,5,1
513,901,1000006,125,40.702339,-74.010517,11,5,2
514,902,1000006,125,40.702339,-74.010517,3,5,2
515,903,1000006,125,40.702339,-74.010517,4,5,2
516,904,1000006,125,40.702339,-74.010517,11,5,2
517,905,1000006,125,40.702339,-74.010517,5,5,2
518,907,1000006,125,40.702339,-74.010517,5,5,2
519,908,1000006,125,40.702339,-74.010517,5,5,2
520,909,1000007,4,40.702717,-74.010716,7,2,1
521,910,1000007,4,40.702717,-74.010716,5,2,2
522,911,1000007,4,40.702717,-74.010716,12,2,2
523,931,1000007,4,40.702717,-74.010716,13,2,1
524,936,1000007,4,40.702717,-74.010716,13,2,1
525,948,1000007,4,40.702717,-74.010716,10,2,2
526,991,1000007,4,40.702717,-74.010716,4,2,2
527,996,1000007,4,40.702717,-74.010716,9,2,2
528,1007,1000007,4,40.702717,-74.010716,13,2,1
529,1008,1000007,4,40.702717,-74.010716,13,2,1
530,1010,1000007,4,40.702717,-74.010716,6,2,2
531,1011,1000007,4,40.702717,-74.010716,13,2,1
532,1012,1000007,4,40.702717,-74.010716,13,2,1
533,1013,1000007,4,40.702717,-74.010716,13,2,1
534,1014,1000007,4,40.702717,-74.010716,13,2,1
535,1015,1000007,4,40.702717,-74.010716,6,2,2
536,1016,1000007,4,40.702717,-74.010716,13,2,1
537,1017,1000007,4,40.702717,-74.010716,13,2,1
538,1018,1000007,4,40.702717,-74.010716,13,2,1
539,1019,1000007,4,40.702717,-74.010716,13,2,1
540,1020,1000007,4,40.702717,-74.010716,6,2,2
541,1021,1000007,4,40.702717,-74.010716,6,2,2
